Task Info;;;;
Task ID;1292;;Storage Interval;1 hours
Operator ID;SMSWS02;;Message Length;15 secs
Start Time;10/5/2020 4:25:52 PM;;Threshold Method;Noise Riding 10 dB
Stop Time;11/1/2020 4:25:54 PM;;Duration;Fixed: 27 days
Station Name;Sensuntepeque;;All Single Channels;Yes
Location (lat);13.876232;;Antenna;Vertical Ref
Location (lon);-88.627817;;Polarization;Vertical
;;;;
Band Info;;;;
Band #;Start Frequency (MHz);Stop Frequency (MHz);Bandwidth (kHz);
1;88.100000;88.100000;200.00000;
2;88.500000;88.500000;200.00000;
3;88.900000;88.900000;200.00000;
4;89.300000;89.300000;200.00000;
5;89.700000;89.700000;200.00000;
6;90.100000;90.100000;200.00000;
7;90.500000;90.500000;200.00000;
8;90.900000;90.900000;200.00000;
9;91.300000;91.300000;200.00000;
10;91.700000;91.700000;200.00000;
11;92.100000;92.100000;200.00000;
12;92.500000;92.500000;200.00000;
13;92.900000;92.900000;200.00000;
14;93.300000;93.300000;200.00000;
15;93.700000;93.700000;200.00000;
16;94.100000;94.100000;200.00000;
17;94.500000;94.500000;200.00000;
18;94.900000;94.900000;200.00000;
19;95.300000;95.300000;200.00000;
20;95.700000;95.700000;200.00000;
21;96.100000;96.100000;200.00000;
22;96.500000;96.500000;200.00000;
23;96.900000;96.900000;200.00000;
24;97.300000;97.300000;200.00000;
25;97.700000;97.700000;200.00000;
26;98.100000;98.100000;200.00000;
27;98.500000;98.500000;200.00000;
28;98.900000;98.900000;200.00000;
29;99.300000;99.300000;200.00000;
30;99.700000;99.700000;200.00000;
31;100.100000;100.100000;200.00000;
32;100.500000;100.500000;200.00000;
33;100.900000;100.900000;200.00000;
34;101.300000;101.300000;200.00000;
35;101.700000;101.700000;200.00000;
36;102.100000;102.100000;200.00000;
37;102.500000;102.500000;200.00000;
38;102.900000;102.900000;200.00000;
39;103.300000;103.300000;200.00000;
40;103.700000;103.700000;200.00000;
41;104.100000;104.100000;200.00000;
42;104.500000;104.500000;200.00000;
43;104.900000;104.900000;200.00000;
44;105.300000;105.300000;200.00000;
45;105.700000;105.700000;200.00000;
46;106.100000;106.100000;200.00000;
47;106.500000;106.500000;200.00000;
48;106.900000;106.900000;200.00000;
49;107.300000;107.300000;200.00000;
50;107.700000;107.700000;200.00000;
;;;;
Channel No.;Frequency (MHz);Maximum Field Strength (dBuV/m);Average Field Strength (dBuV/m);
1;88.100000;57;48;
2;88.500000;81;79;
3;88.900000;70;68;
4;89.300000;64;59;
5;89.700000;88;86;
6;90.100000;---;---;
7;90.500000;59;49;
8;90.900000;72;69;
9;91.300000;74;71;
10;91.700000;69;64;
11;92.100000;111;109;
12;92.500000;58;56;
13;92.900000;60;52;
14;93.300000;76;74;
15;93.700000;79;75;
16;94.100000;70;68;
17;94.500000;70;67;
18;94.900000;54;53;
19;95.300000;74;71;
20;95.700000;54;52;
21;96.100000;71;67;
22;96.500000;53;52;
23;96.900000;70;66;
24;97.300000;73;64;
25;97.700000;79;76;
26;98.100000;109;106;
27;98.500000;72;69;
28;98.900000;67;64;
29;99.300000;63;60;
30;99.700000;58;53;
31;100.100000;59;56;
32;100.500000;68;62;
33;100.900000;55;51;
34;101.300000;61;57;
35;101.700000;51;48;
36;102.100000;75;72;
37;102.500000;58;56;
38;102.900000;93;82;
39;103.300000;70;66;
40;103.700000;54;51;
41;104.100000;65;61;
42;104.500000;60;58;
43;104.900000;53;49;
44;105.300000;52;50;
45;105.700000;70;67;
46;106.100000;56;51;
47;106.500000;51;49;
48;106.900000;64;60;
49;107.300000;60;57;
50;107.700000;70;66;
